,0
2576,H
2577,A
2578,A
2579,H
2580,A
2581,H
2582,H
2583,H
2584,H
2585,H
2586,H
2587,A
2588,H
2589,H
2590,H
2591,H
2592,H
2593,A
2594,A
2595,H
2596,H
2597,H
2598,H
2599,H
2600,H
2601,H
2602,A
2603,H
2604,H
2605,H
2606,H
2607,H
2608,A
2609,A
2610,A
2611,A
2612,A
2613,A
2614,H
2615,H
2616,H
2617,H
2618,H
2619,H
2620,A
2621,H
2622,H
2623,H
2624,H
2625,H
2626,H
2627,A
2628,A
2629,A
2630,A
2631,A
2632,A
2633,H
2634,A
2635,H
2636,A
2637,A
2638,A
2639,H
2640,H
2641,A
2642,A
2643,H
2644,A
2645,H
2646,A
2647,A
2648,H
2649,A
2650,H
2651,H
2652,H
2653,A
2654,H
2655,H
2656,H
2657,H
2658,H
2659,H
2660,H
2661,H
2662,H
2663,H
2664,H
2665,H
2666,H
2667,A
2668,A
2669,A
2670,H
2671,H
2672,H
2673,A
2674,A
2675,H
2676,H
2677,A
2678,H
2679,H
2680,H
2681,A
2682,A
2683,A
2684,H
2685,A
2686,A
2687,H
2688,H
2689,A
2690,H
2691,H
2692,A
2693,A
2694,H
2695,A
2696,H
2697,H
2698,H
2699,H
2700,H
2701,H
2702,A
2703,A
2704,A
2705,H
2706,A
2707,H
2708,A
2709,A
2710,H
2711,A
2712,H
2713,H
2714,A
2715,H
2716,A
2717,A
2718,A
2719,H
2720,H
2721,H
2722,A
2723,H
2724,A
2725,A
2726,H
2727,H
2728,H
2729,H
2730,A
2731,H
2732,H
2733,A
2734,H
2735,H
2736,H
2737,H
2738,H
2739,H
2740,A
2741,A
2742,A
2743,H
2744,H
2745,A
2746,H
2747,A
2748,A
2749,H
2750,A
2751,H
2752,A
2753,H
2754,H
2755,A
2756,H
2757,A
2758,H
2759,H
2760,A
2761,A
2762,A
2763,H
2764,H
2765,A
2766,H
2767,H
2768,H
2769,A
2770,A
2771,H
2772,A
2773,A
2774,H
2775,H
2776,A
2777,H
2778,H
2779,H
2780,H
2781,H
2782,H
2783,H
2784,H
2785,H
2786,A
2787,H
2788,H
2789,H
2790,A
2791,H
2792,H
2793,H
2794,A
2795,A
2796,A
2797,A
2798,A
2799,H
2800,A
2801,A
2802,H
2803,H
2804,H
2805,H
2806,A
2807,A
2808,A
2809,A
2810,H
2811,H
2812,H
2813,A
2814,A
2815,H
2816,A
2817,H
2818,H
2819,A
2820,A
2821,A
2822,A
2823,H
2824,H
2825,A
2826,A
2827,H
2828,H
2829,A
2830,H
2831,A
2832,H
2833,H
2834,H
2835,H
2836,A
2837,H
2838,H
2839,H
2840,A
2841,H
2842,H
2843,H
2844,H
2845,A
2846,A
2847,H
2848,A
2849,A
2850,A
2851,H
2852,A
2853,A
2854,H
2855,H
2856,H
2857,H
2858,H
2859,A
2860,A
2861,A
2862,A
2863,A
2864,H
2865,H
2866,H
2867,H
2868,H
2869,A
2870,A
2871,H
2872,A
2873,A
2874,A
2875,A
2876,A
2877,A
2878,H
2879,H
2880,A
2881,A
2882,H
2883,H
2884,H
2885,H
2886,A
2887,A
2888,A
2889,A
2890,A
2891,H
2892,A
2893,A
2894,H
2895,H
2896,H
2897,H
2898,H
2899,A
2900,A
2901,H
2902,A
2903,H
2904,H
2905,H
2906,H
2907,H
2908,H
2909,H
2910,A
2911,H
2912,H
2913,A
2914,A
2915,A
2916,A
2917,A
2918,H
2919,H
2920,H
2921,H
2922,A
2923,H
2924,H
2925,A
2926,A
2927,H
2928,H
2929,H
2930,H
2931,A
2932,H
2933,H
2934,H
2935,A
2936,H
2937,A
2938,H
2939,A
2940,H
2941,A
2942,H
2943,H
2944,H
2945,H
2946,H
2947,A
2948,A
2949,A
2950,A
2951,A
2952,A
2953,A
2954,A
2955,A
2956,H
2957,H
2958,H
2959,H
2960,H
2961,A
2962,A
2963,H
2964,H
2965,H
2966,A
2967,H
2968,H
